,Tempo[s],Z_onda[m],Z_heave[m]
510,51.00141671,-0.6269867678,0.0234596931
511,51.10141948,-0.4533508833,0.02826005321
512,51.20142226,-0.2597967343,0.03303330374
513,51.30142504,-0.05464464798,0.03777411906
514,51.40142782,0.1532860585,0.042477206
515,51.5014306,0.3550600271,0.04713731833
516,51.60143337,0.5420135319,0.05174927128
517,51.70143615,0.7061297277,0.05630795571
518,51.80143893,0.8403849306,0.06080835153
519,51.90144171,0.9390507493,0.06524554
520,52.00144448,0.9979389294,0.06961471469
521,52.10144726,1.014578403,0.07391119074
522,52.20145004,0.9883171224,0.07813041232
523,52.30145282,0.920344634,0.08226795813
524,52.4014556,0.8136349078,0.08631954498
525,52.50145837,0.672812422,0.09028102939
526,52.60146115,0.503947861,0.09414840745
527,52.70146393,0.3142927804,0.09791781305
528,52.80146671,0.1119651468,0.1015855148
529,52.90146949,-0.09440035072,0.1051479117
530,53.00147226,-0.2960219687,0.1086015288
531,53.10147504,-0.4843446337,0.1119430113
532,53.20147782,-0.6514018235,0.1151691202
533,53.3014806,-0.7901504027,0.118276727
534,53.40148337,-0.8947645359,0.1212628101
535,53.50148615,-0.9608766856,0.1241244518
536,53.60148893,-0.9857560507,0.1268588366
537,53.70149171,-0.9684175051,0.1294632515
538,53.80149449,-0.909657038,0.1319350869
539,53.90149726,-0.8120127544,0.1342718405
540,54.00150004,-0.679653541,0.1364711217
541,54.10150282,-0.5182004211,0.1385306583
542,54.2015056,-0.3344883025,0.1404483039
543,54.30150838,-0.1362781681,0.1422220474
544,54.40151115,0.06806831691,0.1438500221
545,54.50151393,0.2699383643,0.1453305165
546,54.60151671,0.4608274647,0.1466619845
547,54.70151949,0.6326939578,0.1478430557
548,54.80152226,0.778294319,0.1488725446
549,54.90152504,0.8914854908,0.1497494596
550,55.00152782,0.9674818963,0.1504730102
551,55.1015306,1.003056566,0.1510426122
552,55.20153338,0.9966780184,0.1514578922
553,55.30153615,0.9485770907,0.1517186891
554,55.40153893,0.8607407028,0.1518250535
555,55.50154171,0.7368324953,0.151777246
556,55.60154449,0.5820432428,0.1515757326
557,55.70154727,0.4028768508,0.1512211781
558,55.80155004,0.2068804343,0.1507144387
559,55.90155282,0.00232937202,0.1500565526
560,56.0015556,-0.2021197919,0.1492487297
561,56.10155838,-0.3977942504,0.1482923405
562,56.20156115,-0.5763723857,0.1471889055
563,56.30156393,-0.730238241,0.1459400836
564,56.40156671,-0.8528078568,0.1445476621
565,56.50156949,-0.9388133485,0.1430135468
566,56.60157227,-0.9845322514,0.1413397543
567,56.70157504,-0.987951885,0.1395284045
568,56.80157782,-0.9488611869,0.1375817162
569,56.9015806,-0.8688655417,0.1355020033
570,57.00158338,-0.7513234487,0.1332916739
571,57.10158616,-0.6012072815,0.1309532302
572,57.20158893,-0.4248937514,0.1284892708
573,57.30159171,-0.2298928304,0.1259024943
574,57.40159449,-0.02452667571,0.1231957037
575,57.50159727,0.1824276117,0.1203718119
576,57.60160004,0.3821158705,0.1174338477
577,57.70160282,0.5659888908,0.1143849618
578,57.8016056,0.7261717818,0.1112284323
579,57.90160838,0.8558044387,0.1079676695
580,58.00161116,0.9493380972,0.1046062198
581,58.10161393,1.002774909,0.1011477679
582,58.20161671,1.013840005,0.09759613687
583,58.30161949,0.9820785247,0.09395528756
584,58.40162227,0.9088734557,0.09022931459
585,58.50162505,0.7973836543,0.08642244106
586,58.60162782,0.6524049663,0.08253901102
587,58.7016306,0.4801607773,0.07858348011
588,58.80163338,0.2880314049,0.07456040453
589,58.90163616,0.08423440019,0.07047442853
590,59.00163893,-0.1225300955,0.06633027098
591,59.10164171,-0.3234533592,0.06213271121
592,59.20164449,-0.5099951559,0.0578865745
593,59.30164727,-0.6742475763,0.05359671783
594,59.40165005,-0.8092700679,0.04926801609
595,59.50165282,-0.9093814869,0.04490534918
596,59.6016556,-0.9703969918,0.04051359045
597,59.70165838,-0.9898000895,0.0360975966
598,59.80166116,-0.9668430206,0.03166219929
599,59.90166394,-0.9025717864,0.02721219876
600,60.00166671,-0.7997753443,0.0227523593
601,60.10166949,-0.6628616948,0.01828740664
602,60.20167227,-0.4976666084,0.01382202725
603,60.30167505,-0.3112034837,0.009360869215
